Ffmpeg metadata tag	Tag	ID3v2.2	ID3v2.3	ID3v2.4
album	TALB		x	x
composer	TCOM		x	x
genre	TCON		x	x
copyright	TCOP		x	x
encoded_by	TENC		x	x
title	TIT2		x	x
language	TLAN		x	x
artist	TPE1		x	x
album_artist	TPE2		x	x
performer	TPE3		x	x
disc	TPOS		x	x
publisher	TPUB		x	x
track	TRCK		x	x
encoder	TSSE		x	x
lyrics	USLT		x	x
compilation	TCMP			x
date	TDRC			x
date	TDRL			x
creation_time	TDEN			x
album-sort	TSOA			x
artist-sort	TSOP			x
title-sort	TSOT			x
album	TAL	x		
genre	TCO	x		
compilation	TCP	x		
title	TT2	x		
encoded_by	TEN	x		
artist	TP1	x		
album_artist	TP2	x		
performer	TP3	x		
track	TRK	x		

